,flag,NAME,HEX,Red,Green,Blue,Cyan,Magenta,Yellow,Black,Preview,Marker,Swatch
0,Qpoc,black,#000000,0,0,0,0%,0%,0%,100%,,,
1,Qpoc,red,#e50000,229,0,0,0.0%,100.0%,100.0%,10.2%,,,
2,Qpoc,purple,#800080,128,0,128,0.0%,100.0%,0.0%,49.8%,,,
3,Qpoc,electric blue,#0652ff,6,82,255,97.65%,67.84%,0.0%,0.0%,,,
4,Qpoc,darkorange,#ff8c00,255,140,0,0.0%,45.1%,100.0%,0.0%,,,
5,Qpoc,emerald green,#028f1e,2,143,30,98.6%,0.0%,79.02%,43.92%,,,
6,Qpoc,dandelion,#fedf08,254,223,8,0.0%,12.2%,96.85%,0.39%,,,
7,Qpoc,rust brown,#8b3103,139,49,3,0.0%,64.75%,97.84%,45.49%,,,
8,Qpoc,browny orange,#ca6b02,202,107,2,0.0%,47.03%,99.01%,20.78%,,,
9,Qpoc,burlywood,#deb887,222,184,135,0.0%,17.12%,39.19%,12.94%,,,
10,Qpoc,brown,#653700,101,55,0,0.0%,45.54%,100.0%,60.39%,,,
11,Qpoc,dark brown,#341c02,52,28,2,0.0%,46.15%,96.15%,79.61%,,,
12,Qpoc,white,#ffffff,255,255,255,0.0%,0.0%,0.0%,0.0%,,,
