,flag,NAME,HEX,Red,Green,Blue,Cyan,Magenta,Yellow,Black,Preview,Marker,Swatch
0,progress,darkorange,#ff8c00,255,140,0,0.0%,45.1%,100.0%,0.0%,,,
1,progress,purple,#800080,128,0,128,0.0%,100.0%,0.0%,49.8%,,,
2,progress,indigo,#380282,56,2,130,56.92%,98.46%,0.0%,49.02%,,,
3,progress,dandelion,#fedf08,254,223,8,0.0%,12.2%,96.85%,0.39%,,,
4,progress,red,#e50000,229,0,0,0.0%,100.0%,100.0%,10.2%,,,
5,progress,emerald green,#028f1e,2,143,30,98.6%,0.0%,79.02%,43.92%,,,
6,progress,black,#000000,0,0,0,0%,0%,0%,100%,,,
7,progress,brown,#653700,101,55,0,0.0%,45.54%,100.0%,60.39%,,,
8,progress,sky blue,#75bbfd,117,187,253,53.75%,26.09%,0.0%,0.78%,,,
9,progress,white,#ffffff,255,255,255,0.0%,0.0%,0.0%,0.0%,,,
10,progress,soft pink,#fdb0c0,253,176,192,0.0%,30.43%,24.11%,0.78%,,,
