,flag,NAME,HEX,Red,Green,Blue,Cyan,Magenta,Yellow,Black,Preview,Marker,Swatch
0,abrosexual,dark pink,#cb416b,203,65,107,0.0%,67.98%,47.29%,20.39%,,,
1,abrosexual,white,#ffffff,255,255,255,0.0%,0.0%,0.0%,0.0%,,,
2,abrosexual,mediumaquamarine,#66cdaa,102,205,170,50.24%,0.0%,17.07%,19.61%,,,
3,abrosexual,powderblue,#b0e0e6,176,224,230,23.48%,2.61%,0.0%,9.8%,,,
4,abrosexual,faded pink,#de9dac,222,157,172,0.0%,29.28%,22.52%,12.94%,,,
5,agender,black,#000000,0,0,0,0%,0%,0%,100%,,,
6,agender,white,#ffffff,255,255,255,0.0%,0.0%,0.0%,0.0%,,,
7,agender,silver,#c0c0c0,192,192,192,0.0%,0.0%,0.0%,24.71%,,,
8,agender,pistachio,#c0fa8b,192,250,139,23.2%,0.0%,44.4%,1.96%,,,
9,ally,black,#000000,0,0,0,0%,0%,0%,100%,,,
10,ally,white,#ffffff,255,255,255,0.0%,0.0%,0.0%,0.0%,,,
11,ally,purple,#800080,128,0,128,0.0%,100.0%,0.0%,49.8%,,,
12,ally,electric blue,#0652ff,6,82,255,97.65%,67.84%,0.0%,0.0%,,,
13,ally,emerald green,#028f1e,2,143,30,98.6%,0.0%,79.02%,43.92%,,,
14,ally,dandelion,#fedf08,254,223,8,0.0%,12.2%,96.85%,0.39%,,,
15,ally,darkorange,#ff8c00,255,140,0,0.0%,45.1%,100.0%,0.0%,,,
16,ally,red,#e50000,229,0,0,0.0%,100.0%,100.0%,10.2%,,,
17,androgynous,gray,#929591,146,149,145,2.01%,0.0%,2.68%,41.57%,,,
18,androgynous,dark periwinkle,#665fd1,102,95,209,51.2%,54.55%,0.0%,18.04%,,,
19,androgynous,orchid,#c875c4,200,117,196,0.0%,41.5%,2.0%,21.57%,,,
20,androphilia,black,#000000,0,0,0,0%,0%,0%,100%,,,
21,androphilia,white,#ffffff,255,255,255,0.0%,0.0%,0.0%,0.0%,,,
22,androphilia,green,#008000,0,128,0,100.0%,0.0%,100.0%,49.8%,,,
23,androphilia,silver,#c0c0c0,192,192,192,0.0%,0.0%,0.0%,24.71%,,,
24,aromantic,black,#000000,0,0,0,0%,0%,0%,100%,,,
25,aromantic,darkgrey,#a9a9a9,169,169,169,0.0%,0.0%,0.0%,33.73%,,,
26,aromantic,white,#ffffff,255,255,255,0.0%,0.0%,0.0%,0.0%,,,
27,aromantic,medium green,#39ad48,57,173,72,67.05%,0.0%,58.38%,32.16%,,,
28,aromantic,pale olive green,#b1d27b,177,210,123,15.71%,0.0%,41.43%,17.65%,,,
29,asexual,black,#000000,0,0,0,0%,0%,0%,100%,,,
30,asexual,darkgrey,#a9a9a9,169,169,169,0.0%,0.0%,0.0%,33.73%,,,
31,asexual,white,#ffffff,255,255,255,0.0%,0.0%,0.0%,0.0%,,,
32,asexual,purple,#800080,128,0,128,0.0%,100.0%,0.0%,49.8%,,,
33,autosexual,tab:grey,#7f7f7f,127,127,127,0.0%,0.0%,0.0%,50.2%,,,
34,autosexual,lightblue,#add8e6,173,216,230,24.78%,6.09%,0.0%,9.8%,,,
35,basic,red,#e50000,229,0,0,0.0%,100.0%,100.0%,10.2%,,,
36,basic,emerald green,#028f1e,2,143,30,98.6%,0.0%,79.02%,43.92%,,,
37,basic,purple,#800080,128,0,128,0.0%,100.0%,0.0%,49.8%,,,
38,basic,electric blue,#0652ff,6,82,255,97.65%,67.84%,0.0%,0.0%,,,
39,basic,darkorange,#ff8c00,255,140,0,0.0%,45.1%,100.0%,0.0%,,,
40,basic,dandelion,#fedf08,254,223,8,0.0%,12.2%,96.85%,0.39%,,,
41,bear,black,#000000,0,0,0,0%,0%,0%,100%,,,
42,bear,white,#ffffff,255,255,255,0.0%,0.0%,0.0%,0.0%,,,
43,bear,medium brown,#7f5112,127,81,18,0.0%,36.22%,85.83%,50.2%,,,
44,bear,brown,#653700,101,55,0,0.0%,45.54%,100.0%,60.39%,,,
